timestamp,open,high,low,close,volume
2024-10-27,67008.15000000,68261.37000000,66836.78000000,67943.19000000,2819.59766921
2024-10-26,66564.51000000,67365.18000000,66331.95000000,67012.56000000,2949.21997010
2024-10-25,68156.84000000,68742.38000000,65500.01000000,66564.51000000,14485.49253537
2024-10-24,66601.10000000,68800.00000000,66445.32000000,68156.84000000,10016.19830413
2024-10-23,67389.70000000,67415.65000000,65149.51000000,66601.11000000,9021.17140157
2024-10-22,67346.15000000,67800.00000000,66535.00000000,67380.08000000,8598.06472763
2024-10-21,69014.87000000,69498.00000000,66802.00000000,67346.15000000,10226.59346669
2024-10-20,68363.73000000,69380.00000000,68083.18000000,69014.86000000,2632.89214855
2024-10-19,68426.11000000,68689.29000000,68005.83000000,68363.73000000,1868.86958754
2024-10-18,67399.86000000,69000.62000000,67149.24000000,68426.11000000,11802.74441943
2024-10-17,67608.45000000,67926.99000000,66629.97000000,67402.33000000,7912.22639285
2024-10-16,67056.62000000,68399.00000000,66743.00000000,67608.44000000,12465.75691229
2024-10-15,66065.64000000,67944.76000000,64778.44000000,67056.60000000,16324.01191342
2024-10-14,62847.89000000,66500.00000000,62426.67000000,66065.65000000,13638.71106556
2024-10-13,63183.08000000,63270.18000000,62033.00000000,62845.30000000,2257.61460657
2024-10-12,62518.75000000,63474.25000000,62464.15000000,63187.47000000,3943.90648994
2024-10-11,60279.53000000,63416.70000000,60029.98000000,62518.75000000,11454.99005340
2024-10-10,60578.28000000,61271.59000000,58863.90000000,60279.53000000,10462.57962276
2024-10-09,62118.44000000,62507.68000000,60255.00000000,60578.28000000,7582.36723494
2024-10-08,62203.82000000,63191.05000000,61824.48000000,62122.02000000,6566.33034742
2024-10-07,62810.93000000,64467.02000000,62113.28000000,62200.28000000,10707.15000150
2024-10-06,62051.29000000,62978.75000000,61805.85000000,62810.86000000,2086.21821773
2024-10-05,62090.70000000,62380.04000000,61686.34000000,62051.29000000,1783.56564961
2024-10-04,60745.00000000,62481.00000000,60454.50000000,62090.71000000,7884.21831808
2024-10-03,60631.36000000,61474.92000000,59824.87000000,60744.99000000,7834.55718072
2024-10-02,60792.63000000,62380.34000000,59969.20000000,60631.37000000,8764.03050337
2024-10-01,63305.52000000,64106.75000000,60150.89000000,60790.00000000,15970.80295516
2024-09-30,65600.01000000,65624.95000000,62833.95000000,63301.25000000,10629.74147917
2024-09-29,65857.33000000,66059.00000000,65433.29000000,65600.01000000,2721.35197741
2024-09-28,65787.53000000,66266.39000000,65400.00000000,65858.99000000,2755.22680581
2024-09-27,65176.39000000,66550.00000000,64827.85000000,65789.00000000,9529.01688080
